local_authority_id,local_authority_name,region_id
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
180,Bracknell Forest,9
